Sorting Method,Number of Lines,Sorted Data Output,Reversed Data Output,Shuffled Data Output
Bubble sort,10,0;13492300,36;238900,23;220601
Bubble sort,25,0;13537800,276;1109700,177;222499
Bubble sort,50,0;11681400,1176;690799,605;530700
Bubble sort,100,0;12303300,4851;1942999,2342;825500
Bubble sort,200,0;20599901,19701;3516700,9592;3288300
Bubble sort,300,0;20155400,44551;9430400,22611;7230399
Bubble sort,392,0;31880801,76245;11533800,39368;4161001
Merge sort,10,52700,67300,41001
Merge sort,25,180400,99200,122400
Merge sort,50,309000,193300,165400
Merge sort,100,875000,342499,366900
Merge sort,200,1650100,1322900,557801
Merge sort,300,2797900,703600,666299
Merge sort,392,4823700,851500,980700
Quick sort,10,47400,258901,21600
Quick sort,25,209500,113600,80100
Quick sort,50,274599,123101,78600
Quick sort,100,684600,110500,125100
Quick sort,200,2031900,495900,444000
Quick sort,300,2302100,466600,693700
Quick sort,392,2449400,996100,466400
Heap sort,10,169899,54500,28399
Heap sort,25,298700,81301,110601
Heap sort,50,572801,57500,158599
Heap sort,100,904199,124101,102300
Heap sort,200,2144100,540499,134100
Heap sort,300,3363801,439600,268700
Heap sort,392,4753600,294500,1021800
Transposition sort,10,0,36,23
Transposition sort,25,0,276,155
Transposition sort,50,0,1176,557
Transposition sort,100,0,4851,2468
Transposition sort,200,0,19701,10884
Transposition sort,300,0,44551,21745
Transposition sort,392,0,76245,38329
Transposition sort,392,0,76245,38241
Transposition sort,392,0,76245,38137
Transposition sort,392,0,76245,35920
